base_trial_name,session_id,repeat_instance_index,trial_order_position,symmetry_transform
T20,215,0,53,4
T22,215,0,54,2
T1A,215,0,55,1
T6B,215,0,56,6
T1D,215,0,57,4
T10,215,3,58,0
T11,215,3,59,0
T16,215,0,60,2
T29,215,0,61,7
T4C,215,0,62,3
T23,215,0,63,7
T31,215,0,64,2
T17,215,0,65,4
T9,215,4,66,4
T2D,215,0,67,2
T25,215,0,68,2
T18,215,0,69,7
T8A,215,0,70,3
T3D,215,0,71,2
T5A,215,0,72,2
T10,215,4,73,1
T11,215,4,74,1
T34,216,0,1,5
T3C,216,0,2,2
T9,216,0,3,1
T4C,216,0,4,4
T8A,216,0,5,4
T6B,216,0,6,7
T3A,216,0,7,0
T1D,216,0,8,5
T10,216,0,9,6
T5D,216,0,10,6
T2D,216,0,11,3
T6D,216,0,12,1
T11,216,0,13,6
T13,216,0,14,0
T21,216,0,15,0
T5F,216,0,16,0
T7D,216,0,17,3
T9,216,1,18,2
T28,216,0,19,5
T6C,216,0,20,0
T16,216,0,21,3
T24,216,0,22,0
T25,216,0,23,3
T10,216,1,24,7
T19,216,0,25,6
T27,216,0,26,3
T3D,216,0,27,3
T11,216,1,28,7
T30,216,0,29,0
T17,216,0,30,5
T8D,216,0,31,7
T4A,216,0,32,2
T9,216,2,33,3
T22,216,0,34,3
T4F,216,0,35,7
T8B,216,0,36,5
T1C,216,0,37,4
T7A,216,0,38,0
T10,216,2,39,0
T1B,216,0,40,3
T12,216,0,41,2
T2A,216,0,42,0
T11,216,2,43,0
T4B,216,0,44,3
T29,216,0,45,0
T32,216,0,46,3
T7C,216,0,47,2
T9,216,3,48,4
T20,216,0,49,5
T18,216,0,50,0
T5A,216,0,51,3
T8C,216,0,52,6
T2B,216,0,53,1
T10,216,3,54,1
T3B,216,0,55,1
T4D,216,0,56,5
T5C,216,0,57,5
T11,216,3,58,1
T26,216,0,59,3
T6A,216,0,60,6
T14,216,0,61,1
T7B,216,0,62,1
T9,216,4,63,5
T5B,216,0,64,4
T1A,216,0,65,2
T31,216,0,66,3
T4E,216,0,67,6
T33,216,0,68,5
T10,216,4,69,2
